subject,difficulty,topic,question,options,answer,hint
math,easy,Простые числа,Какое из чисел является простым?,"[""17"", ""15"", ""21"", ""25""]",17,Простое число делится только на 1 и на себя
math,easy,НОД,"Найдите НОД(12, 18)","[""6"", ""3"", ""12"", ""2""]",6,"Найдите наибольшее число, на которое делятся оба"
math,easy,НОК,"Найдите НОК(4, 6)","[""12"", ""24"", ""6"", ""2""]",12,"Найдите наименьшее число, которое делится на оба"
math,easy,Степени,Чему равно 2³?,"[""8"", ""6"", ""9"", ""4""]",8,2³ = 2 × 2 × 2
math,easy,Корни,Чему равен √49?,"[""7"", ""6"", ""8"", ""9""]",7,Какое число при умножении на себя даёт 49?
math,medium,Квадратные уравнения,Решите уравнение x² - 5x + 6 = 0. Найдите сумму корней.,"[""5"", ""6"", ""-5"", ""1""]",5,По теореме Виета сумма корней равна -b/a
math,medium,Системы уравнений,"Решите систему: x + y = 7, x - y = 3. Чему равен x?","[""5"", ""2"", ""4"", ""3""]",5,"Сложите оба уравнения, чтобы найти x"
math,medium,Неравенства,Решите неравенство 2x - 4 > 6. Найдите наименьшее целое решение.,"[""6"", ""5"", ""4"", ""7""]",6,"Решите как уравнение, затем выберите нужную часть числовой прямой"
math,medium,Арифметическая прогрессия,"Найдите 10-й член арифметической прогрессии: 3, 7, 11, ...","[""39"", ""43"", ""35"", ""41""]",39,"Формула n-го члена: aₙ = a₁ + d(n-1), где d = 4"
math,medium,Геометрическая прогрессия,"Найдите 5-й член геометрической прогрессии: 2, 6, 18, ...","[""162"", ""54"", ""108"", ""486""]",162,"Формула n-го члена: bₙ = b₁ × qⁿ⁻¹, где q = 3"
math,medium,Теорема Пифагора,В прямоугольном треугольнике катеты равны 6 и 8. Чему равна гипотенуза?,"[""10"", ""12"", ""14"", ""7""]",10,c² = a² + b²
math,medium,Тригонометрия,Чему равен sin 30°?,"[""0,5"", ""1"", ""0"", ""√3/2""]","0,5",Вспомните значения тригонометрических функций для стандартных углов
math,medium,Функции,Найдите значение функции f(x) = 3x - 2 при x = 4,"[""10"", ""12"", ""14"", ""8""]",10,Подставьте значение x в формулу
math,medium,Логарифмы,Чему равен log₂ 32?,"[""5"", ""4"", ""6"", ""3""]",5,"В какую степень нужно возвести 2, чтобы получить 32?"
math,medium,Комбинаторика,Сколькими способами можно выбрать 2 книги из 5?,"[""10"", ""20"", ""25"", ""15""]",10,"Используйте формулу сочетаний C(5,2)"
math,medium,Вероятность,Какова вероятность выпадения чётного числа на кубике?,"[""1/2"", ""1/3"", ""1/6"", ""2/3""]",1/2,Сколько чётных чисел на кубике из 6 возможных?
math,medium,Площадь круга,Найдите площадь круга с радиусом 3 см (ответ в π),"[""9π см²"", ""6π см²"", ""3π см²"", ""12π см²""]",9π см²,S = πr²
math,medium,Объём,Найдите объём куба с ребром 4 см,"[""64 см³"", ""48 см³"", ""16 см³"", ""32 см³""]",64 см³,V = a³
math,medium,Пропорции,Решите пропорцию: 3/x = 9/15. Найдите x.,"[""5"", ""45"", ""3"", ""9""]",5,Произведение крайних равно произведению средних
math,medium,Проценты,"Товар подорожал на 20%. Какой была цена, если сейчас он стоит 120 рублей?","[""100 рублей"", ""96 рублей"", ""110 рублей"", ""80 рублей""]",100 рублей,120 рублей — это 120% от начальной цены
math,medium,Модуль числа,Решите уравнение |x - 3| = 5,"[""x = 8 или x = -2"", ""x = 8"", ""x = -2"", ""x = 2 или x = 8""]",x = 8 или x = -2,Модуль равен числу или его противоположному значению
math,medium,Рациональные уравнения,Решите уравнение: (x-2)/(x+1) = 0. Чему равен x?,"[""2"", ""-1"", ""0"", ""1""]",2,"Дробь равна нулю, когда числитель равен нулю"
math,medium,Степенные функции,Упростите выражение: 2³ × 2⁴,"[""128"", ""64"", ""256"", ""32""]",128,При умножении степеней с одинаковым основанием показатели складываются
math,medium,Квадратный корень,Упростите: √50,"[""5√2"", ""2√5"", ""10√5"", ""25√2""]",5√2,50 = 25 × 2 = 5² × 2
math,medium,Периметр,"Периметр прямоугольника 28 см, одна сторона 6 см. Найдите вторую сторону.","[""8 см"", ""10 см"", ""7 см"", ""11 см""]",8 см,"P = 2(a + b), значит a + b = 14"
math,hard,Тригонометрические уравнения,"Сколько корней имеет уравнение sin x = 0,5 на отрезке [0; 2π]?","[""2"", ""1"", ""3"", ""4""]",2,"sin x = 0,5 при x = π/6 и x = 5π/6"
math,hard,Логарифмические уравнения,Решите уравнение: log₃(x + 2) = 2,"[""7"", ""9"", ""4"", ""11""]",7,Перейдите от логарифма к показательной форме: x + 2 = 3²
math,hard,Показательные уравнения,Решите уравнение: 4ˣ = 32,"[""2,5"", ""3"", ""2"", ""4""]","2,5","Приведите к одному основанию: 4 = 2², 32 = 2⁵"
math,hard,Производные,Найдите производную функции f(x) = x³ - 2x² + 5,"[""3x² - 4x"", ""3x² - 4x + 5"", ""x² - 4x"", ""3x² - 2x""]",3x² - 4x,"Производная xⁿ равна n·xⁿ⁻¹, производная константы равна 0"
math,hard,Интегралы,Найдите первообразную функции f(x) = 6x²,"[""2x³ + C"", ""3x³ + C"", ""6x³ + C"", ""x³ + C""]",2x³ + C,Первообразная xⁿ равна xⁿ⁺¹/(n+1)
math,hard,Стереометрия,Найдите объём пирамиды с квадратным основанием со стороной 6 и высотой 5,"[""60"", ""180"", ""90"", ""120""]",60,V = (1/3) × S основания × h
math,hard,Комплексные числа,Чему равен модуль комплексного числа 3 + 4i?,"[""5"", ""7"", ""1"", ""25""]",5,|z| = √(a² + b²) для z = a + bi
math,hard,Пределы,Найдите предел: lim(x→∞) (3x² + x)/(x² + 1),"[""3"", ""0"", ""∞"", ""1""]",3,Разделите числитель и знаменатель на x²
math,hard,Неравенства с модулем,Решите неравенство |2x - 1| < 5. Найдите длину промежутка решений.,"[""5"", ""6"", ""4"", ""10""]",5,"-5 < 2x - 1 < 5, затем решите двойное неравенство"
math,hard,Теория чисел,Сколько делителей у числа 60?,"[""12"", ""10"", ""8"", ""6""]",12,"60 = 2² × 3 × 5, количество делителей = (2+1)(1+1)(1+1)"
math,hard,Комбинаторика,Сколькими способами можно расставить 5 человек в ряд?,"[""120"", ""60"", ""25"", ""100""]",120,Это число перестановок: n! = 5!
math,hard,Вероятность,"Из колоды 36 карт вытаскивают 2 карты. Какова вероятность, что обе — тузы?","[""1/105"", ""1/81"", ""1/36"", ""4/36""]",1/105,P = (4/36) × (3/35) = 12/1260
math,hard,Вписанные фигуры,Радиус вписанной в квадрат окружности равен 3. Чему равна сторона квадрата?,"[""6"", ""3√2"", ""9"", ""3""]",6,Диаметр вписанной окружности равен стороне квадрата
math,hard,Векторы,Найдите длину вектора a = (3; 4),"[""5"", ""7"", ""12"", ""1""]",5,|a| = √(x² + y²)
math,hard,Аналитическая геометрия,Найдите расстояние между точками A(1; 2) и B(4; 6),"[""5"", ""7"", ""25"", ""3""]",5,d = √((x₂-x₁)² + (y₂-y₁)²)
math,hard,Экстремумы функций,При каком x функция f(x) = x² - 4x + 3 достигает минимума?,"[""2"", ""3"", ""1"", ""4""]",2,Найдите вершину параболы: x = -b/(2a)
math,hard,Исследование функций,Сколько точек пересечения с осью x имеет функция y = x³ - x?,"[""3"", ""1"", ""2"", ""0""]",3,"Решите уравнение x³ - x = 0, вынесите x за скобки"
math,hard,Параметрические уравнения,При каких значениях a уравнение x² - 2x + a = 0 имеет два различных корня?,"[""a < 1"", ""a > 1"", ""a = 1"", ""a ≤ 1""]",a < 1,Дискриминант должен быть положительным: D = 4 - 4a > 0
physics,easy,Скорость,Автомобиль проехал 120 км за 2 часа. Какова его средняя скорость?,"[""60 км/ч"", ""40 км/ч"", ""80 км/ч"", ""100 км/ч""]",60 км/ч,Скорость = Расстояние / Время
physics,easy,Плотность,"Масса тела 800 г, объём 400 см³. Чему равна плотность?","[""2 г/см³"", ""0,5 г/см³"", ""3200 г/см³"", ""200 г/см³""]",2 г/см³,ρ = m / V
physics,easy,Масса и объём,Плотность воды 1 г/см³. Какова масса 500 см³ воды?,"[""500 г"", ""0,5 г"", ""50 г"", ""5000 г""]",500 г,m = ρ × V
physics,easy,Сила тяжести,"Чему равна сила тяжести, действующая на тело массой 5 кг? (g = 10 м/с²)","[""50 Н"", ""5 Н"", ""0,5 Н"", ""500 Н""]",50 Н,F = m × g
physics,easy,Давление,Сила 200 Н действует на площадь 4 м². Чему равно давление?,"[""50 Па"", ""800 Па"", ""100 Па"", ""40 Па""]",50 Па,P = F / S
physics,easy,Температура,Температура воздуха 20°C. Сколько это в Кельвинах?,"[""293 К"", ""253 К"", ""20 К"", ""273 К""]",293 К,T(K) = T(°C) + 273
physics,easy,Единицы измерения,Сколько метров в 3 километрах?,"[""3000 м"", ""300 м"", ""30 м"", ""30000 м""]",3000 м,1 км = 1000 м
physics,easy,Механическое движение,Какое движение называется равномерным?,"[""Движение с постоянной скоростью"", ""Движение с ускорением"", ""Движение по окружности"", ""Колебательное движение""]",Движение с постоянной скоростью,При равномерном движении скорость не изменяется
physics,easy,Инерция,Почему пассажир отклоняется назад при резком старте автобуса?,"[""Из-за инерции"", ""Из-за силы тяжести"", ""Из-за трения"", ""Из-за давления воздуха""]",Из-за инерции,Тело стремится сохранить состояние покоя
physics,easy,Простые механизмы,Какой простой механизм используется в ножницах?,"[""Рычаг"", ""Блок"", ""Ворот"", ""Наклонная плоскость""]",Рычаг,Ножницы состоят из двух рычагов с общей точкой опоры
physics,easy,Теплопередача,Как называется передача тепла через непосредственный контакт тел?,"[""Теплопроводность"", ""Конвекция"", ""Излучение"", ""Испарение""]",Теплопроводность,При этом молекулы передают энергию соседним молекулам
physics,easy,Агрегатные состояния,При каком процессе жидкость превращается в газ?,"[""Испарение"", ""Конденсация"", ""Плавление"", ""Кристаллизация""]",Испарение,Обратный процесс называется конденсацией
physics,easy,Электрический ток,В каких единицах измеряется сила тока?,"[""Амперах"", ""Вольтах"", ""Омах"", ""Ваттах""]",Амперах,Названа в честь французского физика Ампера
physics,easy,Напряжение,В каких единицах измеряется электрическое напряжение?,"[""Вольтах"", ""Амперах"", ""Омах"", ""Джоулях""]",Вольтах,Названа в честь итальянского физика Вольта
physics,easy,Сопротивление,В каких единицах измеряется электрическое сопротивление?,"[""Омах"", ""Амперах"", ""Вольтах"", ""Ваттах""]",Омах,Названа в честь немецкого физика Ома
physics,easy,Магниты,Сколько полюсов у постоянного магнита?,"[""2"", ""1"", ""3"", ""4""]",2,Северный и южный полюса
physics,easy,Свет,С какой скоростью распространяется свет в вакууме?,"[""300 000 км/с"", ""30 000 км/с"", ""3 000 км/с"", ""3 000 000 км/с""]",300 000 км/с,Это максимально возможная скорость во Вселенной
physics,easy,Звук,В какой среде звук распространяется быстрее?,"[""В твёрдых телах"", ""В газах"", ""В жидкостях"", ""В вакууме""]",В твёрдых телах,"Чем плотнее среда, тем быстрее распространяется звук"
physics,easy,Отражение света,Чему равен угол отражения света?,"[""Углу падения"", ""90°"", ""0°"", ""Половине угла падения""]",Углу падения,Это закон отражения света
physics,medium,Законы Ньютона,"С какой силой нужно действовать на тело массой 4 кг, чтобы сообщить ему ускорение 3 м/с²?","[""12 Н"", ""7 Н"", ""1,33 Н"", ""0,75 Н""]",12 Н,Второй закон Ньютона: F = m × a
physics,medium,Работа,"Какую работу совершает сила 50 Н, перемещая тело на 4 м?","[""200 Дж"", ""54 Дж"", ""12,5 Дж"", ""100 Дж""]",200 Дж,A = F × s
physics,medium,Мощность,"Какова мощность двигателя, если за 10 секунд совершается работа 500 Дж?","[""50 Вт"", ""5000 Вт"", ""5 Вт"", ""500 Вт""]",50 Вт,N = A / t
physics,medium,Кинетическая энергия,"Чему равна кинетическая энергия тела массой 2 кг, движущегося со скоростью 3 м/с?","[""9 Дж"", ""6 Дж"", ""18 Дж"", ""3 Дж""]",9 Дж,Eₖ = mv²/2
physics,medium,Импульс,"Чему равен импульс тела массой 5 кг, движущегося со скоростью 4 м/с?","[""20 кг·м/с"", ""9 кг·м/с"", ""1,25 кг·м/с"", ""80 кг·м/с""]",20 кг·м/с,p = m × v
physics,medium,Закон Ома,"Напряжение на участке цепи 12 В, сопротивление 4 Ом. Чему равна сила тока?","[""3 А"", ""48 А"", ""0,33 А"", ""16 А""]",3 А,I = U / R
physics,medium,Последовательное соединение,Два резистора по 6 Ом соединены последовательно. Каково общее сопротивление?,"[""12 Ом"", ""3 Ом"", ""6 Ом"", ""36 Ом""]",12 Ом,При последовательном соединении сопротивления складываются
physics,medium,Параллельное соединение,Два резистора по 6 Ом соединены параллельно. Каково общее сопротивление?,"[""3 Ом"", ""12 Ом"", ""6 Ом"", ""36 Ом""]",3 Ом,1/R = 1/R₁ + 1/R₂
physics,medium,Колебания,Период колебаний маятника 2 с. Чему равна частота?,"[""0,5 Гц"", ""2 Гц"", ""4 Гц"", ""1 Гц""]","0,5 Гц",ν = 1 / T
physics,medium,Волны,"Скорость волны 340 м/с, частота 170 Гц. Чему равна длина волны?","[""2 м"", ""0,5 м"", ""57800 м"", ""510 м""]",2 м,λ = v / ν
physics,medium,Линзы,Какая линза собирает лучи в одну точку?,"[""Выпуклая (собирающая)"", ""Вогнутая (рассеивающая)"", ""Плоская"", ""Цилиндрическая""]",Выпуклая (собирающая),Собирающая линза толще в середине
physics,medium,Теплоёмкость,Сколько теплоты нужно для нагревания 2 кг воды на 10°C? (c = 4200 Дж/(кг·°C)),"[""84000 Дж"", ""42000 Дж"", ""8400 Дж"", ""840 Дж""]",84000 Дж,Q = c × m × Δt
physics,medium,Закон Архимеда,"Тело объёмом 0,002 м³ погружено в воду. Чему равна выталкивающая сила? (ρ воды = 1000 кг/м³)","[""20 Н"", ""2 Н"", ""200 Н"", ""2000 Н""]",20 Н,Fₐ = ρ × g × V
physics,medium,Давление в жидкостях,"На какой глубине в воде давление составляет 30000 Па? (ρ = 1000 кг/м³, g = 10 м/с²)","[""3 м"", ""30 м"", ""0,3 м"", ""300 м""]",3 м,"P = ρ × g × h, значит h = P / (ρ × g)"
physics,medium,КПД,"Полезная работа 400 Дж, затраченная 500 Дж. Чему равен КПД?","[""80%"", ""125%"", ""20%"", ""90%""]",80%,КПД = (Aполезная / Aзатраченная) × 100%
physics,medium,Ускорение,Скорость тела изменилась с 10 м/с до 30 м/с за 4 с. Чему равно ускорение?,"[""5 м/с²"", ""10 м/с²"", ""20 м/с²"", ""40 м/с²""]",5 м/с²,a = (v - v₀) / t
physics,medium,Свободное падение,Какова скорость тела через 3 секунды свободного падения? (g = 10 м/с²),"[""30 м/с"", ""45 м/с"", ""15 м/с"", ""10 м/с""]",30 м/с,v = g × t
physics,medium,Движение по окружности,Тело движется по окружности радиусом 2 м со скоростью 4 м/с. Чему равно центростремительное ускорение?,"[""8 м/с²"", ""2 м/с²"", ""16 м/с²"", ""0,5 м/с²""]",8 м/с²,a = v² / R
physics,hard,Релятивистская механика,"Во сколько раз увеличится масса тела, движущегося со скоростью 0,8c? (γ = 1/√(1-v²/c²))","[""В 5/3 раза"", ""В 2 раза"", ""В 4/3 раза"", ""В 1,25 раза""]",В 5/3 раза,"Вычислите γ = 1/√(1-0,64) = 1/√0,36"
physics,hard,Квантовая физика,"Чему равна энергия фотона с частотой 5×10¹⁴ Гц? (h = 6,6×10⁻³⁴ Дж·с)","[""3,3×10⁻¹⁹ Дж"", ""3,3×10⁻²⁰ Дж"", ""6,6×10⁻¹⁹ Дж"", ""1,32×10⁻¹⁹ Дж""]","3,3×10⁻¹⁹ Дж",E = h × ν
physics,hard,Ядерная физика,Сколько протонов и нейтронов в ядре урана-238?,"[""92 протона, 146 нейтронов"", ""92 протона, 238 нейтронов"", ""146 протонов, 92 нейтрона"", ""238 протонов, 92 нейтрона""]","92 протона, 146 нейтронов","Число протонов = атомный номер, нейтроны = массовое число минус протоны"
physics,hard,Электромагнитные волны,К какому диапазону относится излучение с длиной волны 500 нм?,"[""Видимый свет"", ""Ультрафиолет"", ""Инфракрасное"", ""Рентгеновское""]",Видимый свет,Видимый свет: 380-780 нм
physics,hard,Интерференция,При каком условии наблюдается максимум интерференции?,"[""Разность хода равна целому числу длин волн"", ""Разность хода равна нечётному числу полуволн"", ""Волны имеют разную частоту"", ""Волны распространяются перпендикулярно""]",Разность хода равна целому числу длин волн,"Δ = nλ, где n — целое число"
physics,hard,Дифракция,На какой решётке угол дифракции больше для одной и той же длины волны?,"[""С меньшим периодом"", ""С большим периодом"", ""Угол не зависит от периода"", ""С большим числом штрихов""]",С меньшим периодом,"sin θ = nλ/d, чем меньше d, тем больше sin θ"
physics,hard,Фотоэффект,Как изменится максимальная кинетическая энергия фотоэлектронов при увеличении частоты света?,"[""Увеличится"", ""Уменьшится"", ""Не изменится"", ""Станет равной нулю""]",Увеличится,"Eₖ = hν - Aвых, энергия пропорциональна частоте"
physics,hard,Радиоактивность,Период полураспада изотопа 8 суток. Какая часть атомов останется через 24 суток?,"[""1/8"", ""1/4"", ""1/3"", ""1/16""]",1/8,За каждый период полураспада остаётся 1/2; 24/8 = 3 периода
physics,hard,Термодинамика,В изотермическом процессе газ получил 500 Дж теплоты. Какую работу он совершил?,"[""500 Дж"", ""0 Дж"", ""250 Дж"", ""-500 Дж""]",500 Дж,"При изотермическом процессе ΔU = 0, значит Q = A"
physics,hard,Газовые законы,Идеальный газ изобарно нагрели от 300 К до 600 К. Как изменился объём?,"[""Увеличился в 2 раза"", ""Увеличился в 4 раза"", ""Не изменился"", ""Уменьшился в 2 раза""]",Увеличился в 2 раза,При постоянном давлении V/T = const
physics,hard,Электрическое поле,Как изменится сила взаимодействия двух зарядов при увеличении расстояния в 3 раза?,"[""Уменьшится в 9 раз"", ""Уменьшится в 3 раза"", ""Увеличится в 9 раз"", ""Увеличится в 3 раза""]",Уменьшится в 9 раз,По закону Кулона F ~ 1/r²
physics,hard,Магнитное поле,"Как направлена сила Лоренца, действующая на положительный заряд, движущийся перпендикулярно магнитному полю?","[""Перпендикулярно скорости и полю"", ""По направлению поля"", ""Против направления скорости"", ""По направлению скорости""]",Перпендикулярно скорости и полю,Используйте правило левой руки
physics,hard,Электромагнитная индукция,"Магнитный поток через контур изменился на 0,4 Вб за 0,1 с. Чему равна ЭДС индукции?","[""4 В"", ""0,04 В"", ""40 В"", ""0,4 В""]",4 В,ε = ΔΦ / Δt
physics,hard,Резонанс,При каком условии наступает резонанс в колебательном контуре?,"[""Частота внешнего воздействия равна собственной частоте"", ""Амплитуда максимальна"", ""Сопротивление минимально"", ""Энергия сохраняется""]",Частота внешнего воздействия равна собственной частоте,При резонансе ω = ω₀
physics,hard,Оптика,Предмет находится на расстоянии 30 см от линзы с фокусным расстоянием 10 см. На каком расстоянии получится изображение?,"[""15 см"", ""20 см"", ""7,5 см"", ""40 см""]",15 см,"1/F = 1/d + 1/f, где d — расстояние до предмета"
physics,hard,Атомная физика,На какой серии линий спектра водорода электрон переходит на второй уровень?,"[""Серия Бальмера"", ""Серия Лаймана"", ""Серия Пашена"", ""Серия Брэкетта""]",Серия Бальмера,"Серия определяется номером уровня, на который переходит электрон"
physics,hard,Баллистика,"Под каким углом к горизонту нужно бросить тело, чтобы дальность полёта была максимальной?","[""45°"", ""30°"", ""60°"", ""90°""]",45°,"L = v₀² × sin(2α) / g, максимум при sin(2α) = 1"
physics,hard,Гармонические колебания,Уравнение колебаний x = 5cos(4t). Чему равна амплитуда и частота?,"[""A = 5, ω = 4"", ""A = 4, ω = 5"", ""A = 5, ω = 2π"", ""A = 20, ω = 1""]","A = 5, ω = 4",В уравнении x = A·cos(ωt) первый коэффициент — амплитуда
physics,hard,Переменный ток,"Чему равно действующее значение тока, если амплитудное значение 10 А?","[""7,07 А"", ""10 А"", ""14,14 А"", ""5 А""]","7,07 А","I = I₀ / √2 ≈ I₀ × 0,707"
informatics,easy,Системы счисления,Переведите число 5 из десятичной системы в двоичную,"[""101"", ""110"", ""100"", ""111""]",101,5 = 4 + 1 = 2² + 2⁰
informatics,easy,Единицы информации,Сколько бит в одном байте?,"[""8"", ""16"", ""2"", ""1024""]",8,Это основная единица хранения информации
informatics,easy,Алгоритмы,"Как называется алгоритм, в котором команды выполняются последовательно?","[""Линейный"", ""Циклический"", ""Разветвляющийся"", ""Рекурсивный""]",Линейный,Команды идут одна за другой без условий и повторений
informatics,easy,Логические операции,Чему равно значение выражения: True AND False?,"[""False"", ""True"", ""1"", ""Null""]",False,AND даёт True только если оба операнда True
informatics,easy,Файловая система,Какое расширение обычно имеют текстовые документы?,"["".txt"", "".exe"", "".mp3"", "".jpg""]",.txt,От английского слова 'text'
informatics,easy,Устройства компьютера,Какое устройство отвечает за вывод изображения?,"[""Монитор"", ""Клавиатура"", ""Мышь"", ""Сканер""]",Монитор,На нём отображается информация
informatics,easy,Программное обеспечение,К какому типу ПО относится операционная система?,"[""Системное"", ""Прикладное"", ""Инструментальное"", ""Игровое""]",Системное,Это ПО управляет работой компьютера
informatics,easy,Интернет,Как называется уникальный адрес веб-страницы?,"[""URL"", ""IP"", ""DNS"", ""HTML""]",URL,Uniform Resource Locator — единый указатель ресурса
informatics,easy,Текстовый редактор,Какая комбинация клавиш копирует выделенный текст?,"[""Ctrl+C"", ""Ctrl+V"", ""Ctrl+X"", ""Ctrl+Z""]",Ctrl+C,C от слова Copy (копировать)
informatics,easy,Электронные таблицы,Как обозначается ячейка в первом столбце и первой строке?,"[""A1"", ""1A"", ""11"", ""AA""]",A1,"Сначала буква столбца, затем номер строки"
informatics,easy,Базы данных,Как называется строка таблицы в базе данных?,"[""Запись"", ""Поле"", ""Ключ"", ""Запрос""]",Запись,Содержит данные об одном объекте
informatics,easy,Кодирование текста,В кодировке ASCII один символ занимает:,"[""1 байт"", ""2 байта"", ""4 байта"", ""1 бит""]",1 байт,ASCII — 8-битная кодировка
informatics,easy,Типы данных,К какому типу относится значение 3.14?,"[""Вещественное (float)"", ""Целое (int)"", ""Строковое (string)"", ""Логическое (bool)""]",Вещественное (float),Число с дробной частью
informatics,easy,Переменные,Что произойдёт после выполнения: x = 5; x = x + 1?,"[""x станет равно 6"", ""x останется 5"", ""Ошибка"", ""x станет равно 1""]",x станет равно 6,"Сначала вычисляется правая часть, затем присваивается"
informatics,easy,Ввод/вывод,Какая команда в Python выводит текст на экран?,"[""print()"", ""input()"", ""write()"", ""echo()""]",print(),От английского 'печатать'
informatics,easy,Условный оператор,Какое ключевое слово используется для условного оператора?,"[""if"", ""for"", ""while"", ""def""]",if,От английского 'если'
informatics,easy,Циклы,Сколько раз выполнится цикл for i in range(5)?,"[""5"", ""4"", ""6"", ""1""]",5,range(5) создаёт последовательность от 0 до 4
informatics,easy,Массивы,Какой индекс у первого элемента массива в большинстве языков программирования?,"[""0"", ""1"", ""-1"", ""Любой""]",0,Нумерация начинается с нуля
informatics,easy,Графика,Какой формат изображений поддерживает прозрачность?,"[""PNG"", ""JPEG"", ""BMP"", ""TIFF""]",PNG,Portable Network Graphics
informatics,easy,Безопасность,"Как называется вредоносная программа, маскирующаяся под полезную?","[""Троян"", ""Червь"", ""Антивирус"", ""Браузер""]",Троян,Название связано с троянским конём из мифологии
informatics,medium,Системы счисления,Переведите число 1011₂ в десятичную систему,"[""11"", ""13"", ""9"", ""10""]",11,1×2³ + 0×2² + 1×2¹ + 1×2⁰
informatics,medium,Логические выражения,Чему равно: (True OR False) AND NOT False?,"[""True"", ""False"", ""Error"", ""None""]",True,"Сначала вычислите скобки, затем NOT, потом AND"
informatics,medium,Сортировка,Какова сложность алгоритма сортировки пузырьком в худшем случае?,"[""O(n²)"", ""O(n)"", ""O(log n)"", ""O(n log n)""]",O(n²),Требуется два вложенных цикла
informatics,medium,Поиск,Какова сложность бинарного поиска?,"[""O(log n)"", ""O(n)"", ""O(n²)"", ""O(1)""]",O(log n),На каждом шаге область поиска уменьшается вдвое
informatics,medium,Графы,"Как называется граф, в котором все вершины связаны?","[""Полный"", ""Связный"", ""Ориентированный"", ""Взвешенный""]",Полный,Каждая вершина соединена со всеми остальными
informatics,medium,Рекурсия,"Чему равно factorial(4), если factorial(n) = n * factorial(n-1), factorial(1) = 1?","[""24"", ""12"", ""16"", ""4""]",24,4! = 4 × 3 × 2 × 1
informatics,medium,Функции,Что возвращает функция len('Hello')?,"[""5"", ""4"", ""6"", ""Hello""]",5,Функция len() возвращает длину строки
informatics,medium,ООП,"Как называется механизм, позволяющий классу наследовать свойства другого класса?","[""Наследование"", ""Инкапсуляция"", ""Полиморфизм"", ""Абстракция""]",Наследование,Дочерний класс получает свойства родительского
informatics,medium,SQL,Какой оператор используется для выборки данных из таблицы?,"[""SELECT"", ""INSERT"", ""UPDATE"", ""DELETE""]",SELECT,От английского 'выбрать'
informatics,medium,IP-адреса,Сколько бит в IPv4-адресе?,"[""32"", ""64"", ""128"", ""16""]",32,4 октета по 8 бит каждый
informatics,medium,Кодирование изображений,Сколько цветов можно закодировать 8 битами?,"[""256"", ""128"", ""512"", ""64""]",256,2⁸ = ?
informatics,medium,Кодирование звука,Как называется процесс преобразования аналогового сигнала в цифровой?,"[""Дискретизация"", ""Модуляция"", ""Компрессия"", ""Фильтрация""]",Дискретизация,Непрерывный сигнал разбивается на отдельные значения
informatics,medium,Сложность алгоритмов,Какой алгоритм быстрее: O(n) или O(n log n)?,"[""O(n)"", ""O(n log n)"", ""Одинаково"", ""Зависит от n""]",O(n),log n всегда положительный при n > 1
informatics,medium,Строки,Что вернёт 'Hello'[1:4]?,"[""ell"", ""Hel"", ""ello"", ""Hell""]",ell,Срез с индекса 1 до 3 включительно
informatics,medium,Двумерные массивы,Как обратиться к элементу во 2-й строке и 3-м столбце массива a?,"[""a[1][2]"", ""a[2][3]"", ""a[3][2]"", ""a[2,3]""]",a[1][2],Индексация начинается с 0
informatics,medium,Структуры данных,Какая структура данных работает по принципу LIFO?,"[""Стек"", ""Очередь"", ""Список"", ""Дерево""]",Стек,Last In — First Out (последним пришёл — первым вышел)
informatics,medium,Файловые операции,Какой режим открытия файла используется для записи?,"[""'w'"", ""'r'"", ""'x'"", ""'a'""]",'w',От слова write (писать)
informatics,medium,Протоколы,Какой протокол используется для передачи веб-страниц?,"[""HTTP"", ""FTP"", ""SMTP"", ""SSH""]",HTTP,HyperText Transfer Protocol
informatics,medium,Модели данных,Какая модель данных используется в большинстве современных СУБД?,"[""Реляционная"", ""Иерархическая"", ""Сетевая"", ""Объектная""]",Реляционная,Данные хранятся в таблицах со связями
informatics,medium,Криптография,"Как называется метод шифрования, где один ключ для шифрования и расшифровки?","[""Симметричное"", ""Асимметричное"", ""Хеширование"", ""Стеганография""]",Симметричное,Один и тот же ключ используется обеими сторонами
informatics,hard,Теория графов,Какой алгоритм находит кратчайший путь во взвешенном графе?,"[""Дейкстры"", ""BFS"", ""DFS"", ""Прима""]",Дейкстры,Использует жадный подход с приоритетной очередью
informatics,hard,Динамическое программирование,Какой принцип лежит в основе динамического программирования?,"[""Оптимальная подструктура и перекрывающиеся подзадачи"", ""Разделяй и властвуй"", ""Жадный выбор"", ""Полный перебор""]",Оптимальная подструктура и перекрывающиеся подзадачи,Решение большой задачи через решения меньших подзадач
informatics,hard,Жадные алгоритмы,Какую задачу решает алгоритм Хаффмана?,"[""Оптимальное кодирование"", ""Сортировка"", ""Поиск пути"", ""Балансировка дерева""]",Оптимальное кодирование,Создаёт префиксный код с минимальной средней длиной
informatics,hard,Хеширование,Какова сложность поиска в хеш-таблице в среднем случае?,"[""O(1)"", ""O(n)"", ""O(log n)"", ""O(n²)""]",O(1),Прямой доступ по вычисленному индексу
informatics,hard,Деревья,Какое свойство имеет AVL-дерево?,"[""Сбалансированность по высоте"", ""Все листья на одном уровне"", ""Максимум 2 потомка"", ""Упорядоченность""]",Сбалансированность по высоте,Разница высот поддеревьев не более 1
